Subject,Run,Factor 1,Factor 2
sub-010014,post-ses-02-run-01-acq-AP,0.6335125984119198,0.36472105760512374
sub-010014,post-ses-02-run-01-acq-PA,0.638009959858763,0.5663460305516959
sub-010014,post-ses-02-run-02-acq-AP,0.4779267073841082,0.6538508291492642
sub-010014,post-ses-02-run-02-acq-PA,0.45684377014459754,0.65194284211476
sub-010080,post-ses-02-run-02-acq-AP,0.5177880816463771,0.3284589995146367
sub-010080,post-ses-02-run-02-acq-PA,0.9264988141551627,0.20129801096203148
sub-010082,post-ses-02-run-01-acq-AP,0.4439850051356564,0.6601600234941916
sub-010082,post-ses-02-run-01-acq-PA,0.38796446428341486,0.5639008328316971
sub-010082,post-ses-02-run-02-acq-PA,0.3596216017694,0.4734574151227115
sub-010084,post-ses-02-run-01-acq-AP,0.5705833703751145,0.3647175905062038
sub-010084,post-ses-02-run-01-acq-PA,0.6500451918882426,0.3657371230329818
sub-010084,post-ses-02-run-02-acq-AP,0.648432237870529,0.4226893902673298
sub-010084,post-ses-02-run-02-acq-PA,0.49357228731150143,0.31660551466563713
sub-010015,post-ses-02-run-01-acq-AP,0.4444927321324318,0.5512264501763745
sub-010015,post-ses-02-run-01-acq-PA,0.20624829061562225,0.4904506429059714
sub-010015,post-ses-02-run-02-acq-AP,0.1814429654521601,0.6743741735641349
sub-010015,post-ses-02-run-02-acq-PA,0.1492584751599118,0.8128288204109558
sub-010016,post-ses-02-run-01-acq-AP,0.75095213606137,0.6965999695022486
sub-010016,post-ses-02-run-01-acq-PA,0.601967817235178,0.5765398998584874
sub-010016,post-ses-02-run-02-acq-AP,0.5688047047281933,0.9340869908343927
sub-010016,post-ses-02-run-02-acq-PA,0.7046764769521736,0.9216726774258076
sub-010094,post-ses-02-run-01-acq-PA,0.5092490296692271,0.4663841122653732
sub-010094,post-ses-02-run-02-acq-AP,0.2608423482742233,0.49934578182020123
sub-010096,post-ses-02-run-01-acq-AP,0.17652334856211613,0.4130366358758931
sub-010096,post-ses-02-run-01-acq-PA,0.10937202945533969,0.5671783965546928
sub-010096,post-ses-02-run-02-acq-AP,0.18078620485070754,0.4088581234311799
sub-010096,post-ses-02-run-02-acq-PA,0.38276187399896666,0.3489832176165404
sub-010017,post-ses-02-run-01-acq-AP,0.48753651528010683,0.48575879199043503
sub-010017,post-ses-02-run-01-acq-PA,0.3125769583717944,0.6560055043300106
sub-010017,post-ses-02-run-02-acq-AP,0.33610694407220576,0.586925810472145
sub-010017,post-ses-02-run-02-acq-PA,0.7135315461775905,0.41247105308393645
sub-010097,post-ses-02-run-01-acq-AP,0.6823742842520033,0.5917612296901242
sub-010097,post-ses-02-run-01-acq-PA,0.6509928302003439,0.5351181614172047
sub-010097,post-ses-02-run-02-acq-AP,0.6261739894420794,0.5207802218698624
sub-010097,post-ses-02-run-02-acq-PA,0.6271932034336878,0.4346293468554698
sub-010098,post-ses-02-run-01-acq-AP,0.5465992396041172,0.6361873443924095
sub-010098,post-ses-02-run-01-acq-PA,0.8622672883506204,0.25541212144246717
sub-010098,post-ses-02-run-02-acq-AP,0.7046796296549053,0.04010485238688293
sub-010098,post-ses-02-run-02-acq-PA,0.6704181627281438,0.30524208088503546
sub-010099,post-ses-02-run-01-acq-AP,0.600430061040389,0.41531196197451253
sub-010099,post-ses-02-run-01-acq-PA,0.4552498918101421,0.5130853635481268
sub-010099,post-ses-02-run-02-acq-AP,0.2800208024625319,0.5057412334729109
sub-010099,post-ses-02-run-02-acq-PA,0.39008107841406847,0.5732439966871885
sub-010101,post-ses-02-run-01-acq-AP,0.8130305265316928,0.1555888219935515
sub-010101,post-ses-02-run-01-acq-PA,0.7206021487699424,0.29664969361165444
sub-010101,post-ses-02-run-02-acq-AP,0.5659019971199127,0.42396785812057053
sub-010101,post-ses-02-run-02-acq-PA,0.45363335167516006,0.73600133059792
sub-010102,post-ses-02-run-01-acq-AP,0.6578033352599102,0.33656258174249637
sub-010102,post-ses-02-run-01-acq-PA,0.6008214852705666,0.4272364642916034
sub-010102,post-ses-02-run-02-acq-AP,0.49994201292860396,0.664536059058806
sub-010102,post-ses-02-run-02-acq-PA,0.5888720074171249,0.4390476594079652
sub-010103,post-ses-02-run-01-acq-AP,0.3707353400644994,0.5831284153201156
sub-010103,post-ses-02-run-01-acq-PA,0.3526261387884986,0.6145219588388706
